McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
McD,food,Hot Breakfast,Egg White Delight,250,8.0,30,4.0,18,0.77
McD,food,Hot Breakfast,Sausage McMuffin,370,23.0,29,4.0,14,0.78
McD,food,Hot Breakfast,Sausage McMuffin with Egg,450,28.0,30,4.0,21,0.86
McD,food,Hot Breakfast,Sausage McMuffin with Egg Whites,400,23.0,30,4.0,21,0.88
McD,food,Hot Breakfast,Steak & Egg McMuffin,430,23.0,31,4.0,26,0.96
McD,food,Hot Big Breakfast,Hotcakes,350,9.0,60,3.0,8,0.59
McD,food,Hot Big Breakfast,Hotcakes and Sausage,520,24.0,61,3.0,15,0.93
McD,food,Sandwiches,Sausage Burrito,300,16.0,26,1.0,12,0.79
McD,food,Sandwiches,Hash Brown,150,9.0,15,2.0,1,0.31
McD,food,Sandwiches,Cinnamon Melts,460,19.0,66,3.0,6,0.37
McD,food,Hot Breakfast,Fruit & Maple Oatmeal,290,4.0,58,5.0,5,0.16
McD,food,Hot Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,4.0,49,5.0,5,0.115
McD,food,Burgers,Big Mac,530,27.0,47,3.0,24,0.96
McD,food,Burgers,Quarter Pounder Deluxe,540,27.0,45,3.0,29,0.96
McD,food,Burgers,Hamburger,240,8.0,32,1.0,12,0.48
McD,food,Burgers,Cheeseburger,290,11.0,33,2.0,15,0.68
McD,food,Burgers,McDouble,380,17.0,34,2.0,22,0.84
McD,food,Burgers,Daily Double,430,22.0,34,2.0,22,0.76
McD,food,Burgers,McRib,500,26.0,44,3.0,22,0.98
McD,food,Sandwiches,Premium Crispy Chicken Classic Sandwich,510,22.0,55,3.0,24,0.99
McD,food,Sandwiches,Premium Grilled Chicken Classic Sandwich,350,9.0,42,3.0,28,0.82
McD,food,Sandwiches,Southern Style Crispy Chicken Sandwich,430,19.0,43,2.0,21,0.91
McD,food,Burgers,McChicken,360,16.0,40,2.0,14,0.8
McD,food,Burgers,Buffalo Ranch McChicken,360,16.0,40,2.0,14,0.99
McD,food,Burgers,Chicken McNuggets (4 piece),190,12.0,12,1.0,9,0.36
McD,food,Burgers,Chicken McNuggets (6 piece),280,18.0,18,1.0,13,0.54
McD,food,Burgers,Chicken McNuggets (10 piece),470,30.0,30,2.0,22,0.9
McD,food,Burgers,Filet-O-Fish,390,19.0,39,2.0,15,0.59
McD,food,Salads,Premium Bacon Ranch Salad (without Chicken),140,7.0,10,3.0,9,0.3
McD,food,Salads,Premium Bacon Ranch Salad with Crispy Chicken,380,21.0,22,2.0,25,0.86
McD,food,Salads,Premium Bacon Ranch Salad with Grilled Chicken,220,8.0,8,2.0,29,0.69
McD,food,Salads,Premium Southwest Salad (without Chicken),140,4.5,20,6.0,6,0.15
McD,food,Salads,Premium Southwest Salad with Crispy Chicken,450,22.0,42,7.0,23,0.85
McD,food,Salads,Premium Southwest Salad with Grilled Chicken,290,8.0,28,7.0,27,0.68
McD,food,Salads,Side Salad,20,0.0,4,1.0,1,0.01
McD,food,Chiken Snacks,Chipotle BBQ Snack Wrap (Crispy Chicken),340,15.0,37,1.0,14,0.78
McD,food,Chiken Snacks,Chipotle BBQ Snack Wrap (Grilled Chicken),260,8.0,30,1.0,16,0.7
McD,food,Chiken Snacks,Honey Mustard Snack Wrap (Crispy Chicken),330,15.0,34,1.0,14,0.73
McD,food,Chiken Snacks,Honey Mustard Snack Wrap (Grilled Chicken),250,8.0,27,1.0,16,0.65
McD,food,Chiken Snacks,Ranch Snack Wrap (Crispy Chicken),360,20.0,32,1.0,15,0.81
