,McD=0_SB=1,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g),b_Energy(kcal),b_Fat(g),b_Carbohydrates(g),b_Fiber(g),b_Protein(g),b_Sodium(g),d_Energy(kcal),d_Fat(g),d_Carbohydrates(g),d_Fiber(g),d_Protein(g),d_Sodium(g)
67,1,food,Hot Breakfast,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6.0,28,2.0,16,0.55,0.31724137931034485,0.24742268041237114,0.2660332541567696,0.4,0.735632183908046,1.264367816091954,0.2266009852216749,0.17673048600883653,0.19002375296912113,0.2857142857142857,0.5254515599343186,0.9734513274336285
68,1,food,Hot Breakfast,"Roasted Ham, Swiss & Egg Breakfast Sandwich",460,23.0,43,0.0,21,0.92,0.6344827586206897,0.9484536082474226,0.4085510688836104,0.0,0.9655172413793104,2.1149425287356323,0.4532019704433498,0.6774668630338734,0.29182219205972176,0.0,0.6896551724137931,1.6283185840707968
69,1,food,Hot Breakfast,"Sausage, Cheddar & Egg Breakfast Sandwich",480,29.0,34,1.0,18,0.88,0.6620689655172414,1.1958762886597938,0.32304038004750596,0.2,0.8275862068965517,2.0229885057471266,0.47290640394088673,0.8541973490427099,0.2307431286053614,0.14285714285714285,0.5911330049261084,1.5575221238938055
71,1,food,Hot Breakfast,Sous Vide Egg Bites: Bacon & Gruyere,300,20.0,9,0.0,19,0.68,0.41379310344827586,0.8247422680412371,0.0855106888361045,0.0,0.8735632183908046,1.5632183908045978,0.2955665024630542,0.5891016200294552,0.06107906345436037,0.0,0.6239737274220033,1.2035398230088497
72,1,food,Hot Breakfast,Sous Vide Egg Bites: Chicken Chorizo Tortilla,230,13.0,13,0.0,15,0.69,0.31724137931034485,0.5360824742268041,0.12351543942992874,0.0,0.6896551724137931,1.586206896551724,0.2266009852216749,0.38291605301914583,0.08822531387852053,0.0,0.49261083743842365,1.2212389380530975
73,1,food,Hot Breakfast,Sous Vide Egg Bites: Egg White & Red Pepper,170,7.0,13,1.0,13,0.5,0.23448275862068965,0.28865979381443296,0.12351543942992874,0.2,0.5977011494252874,1.1494252873563218,0.16748768472906406,0.2061855670103093,0.08822531387852053,0.14285714285714285,0.42692939244663386,0.8849557522123894
74,1,food,Hot Breakfast,"Sous Vide Egg Bites: Ham, Cheddar & Peppers",250,16.0,11,0.0,17,0.46,0.3448275862068966,0.6597938144329897,0.10451306413301663,0.0,0.7816091954022989,1.0574712643678161,0.24630541871921185,0.4712812960235641,0.07465218866644045,0.0,0.5582922824302134,0.8141592920353984
75,1,food,Hot Breakfast,"Spicy Chorizo, Monterey Jack & Egg Breakfast Sandwich",470,24.0,36,0.0,24,0.95,0.6482758620689655,0.9896907216494846,0.342042755344418,0.0,1.103448275862069,2.1839080459770113,0.46305418719211827,0.7069219440353461,0.2443162538174415,0.0,0.7881773399014779,1.68141592920354
76,1,food,Hot Breakfast,"Spinach, Feta & Cage Free Egg White Breakfast Wrap",280,8.0,34,4.0,20,0.83,0.38620689655172413,0.32989690721649484,0.32304038004750596,0.8,0.9195402298850575,1.9080459770114941,0.2758620689655173,0.23564064801178206,0.2307431286053614,0.5714285714285714,0.6568144499178982,1.4690265486725664
79,1,food,Lunch/Warm Sandwiches,Chicken Caprese,500,18.0,58,3.0,28,0.9,0.6896551724137931,0.7422680412371134,0.5510688836104513,0.6,1.2873563218390804,2.0689655172413794,0.4926108374384237,0.5301914580265097,0.39362063115032236,0.42857142857142855,0.9195402298850575,1.5929203539823011
82,1,food,Lunch/Warm Sandwiches,Tomato & Mozzarella,350,13.0,42,3.0,15,0.58,0.4827586206896552,0.5360824742268041,0.3990498812351544,0.6,0.6896551724137931,1.3333333333333333,0.3448275862068966,0.38291605301914583,0.2850356294536817,0.42857142857142855,0.49261083743842365,1.0265486725663717
84,1,food,Lunch/Warm Sandwiches,Avocado Spread,90,8.0,5,4.0,1,0.21,0.12413793103448276,0.32989690721649484,0.047505938242280284,0.8,0.04597701149425287,0.48275862068965514,0.08866995073891627,0.23564064801178206,0.0339328130302002,0.5714285714285714,0.03284072249589491,0.37168141592920356
85,1,food,Yogurt & Custard,Berry Trio Yogurt,240,2.5,39,3.0,14,0.125,0.3310344827586207,0.10309278350515463,0.37054631828978624,0.6,0.6436781609195402,0.28735632183908044,0.23645320197044337,0.0736377025036819,0.2646759416355616,0.42857142857142855,0.45977011494252873,0.22123893805309736
86,1,food,Yogurt & Custard,Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2.0,14,0.1,0.3310344827586207,0.10309278350515463,0.3990498812351544,0.4,0.6436781609195402,0.2298850574712644,0.23645320197044337,0.0736377025036819,0.2850356294536817,0.2857142857142857,0.45977011494252873,0.1769911504424779
87,1,food,Yogurt & Custard,Justin's Chocolate Hazelnut Butter,180,14.0,12,3.0,4,0.065,0.2482758620689655,0.5773195876288659,0.11401425178147269,0.6,0.1839080459770115,0.14942528735632185,0.17733990147783255,0.4123711340206186,0.08143875127248049,0.42857142857142855,0.13136288998357964,0.11504424778761063
88,1,food,Yogurt & Custard,Justin's Classic Almond Butter,190,18.0,6,3.0,7,0.0,0.2620689655172414,0.7422680412371134,0.057007125890736345,0.6,0.3218390804597701,0.0,0.187192118226601,0.5301914580265097,0.04071937563624024,0.42857142857142855,0.22988505747126436,0.0
89,1,food,Yogurt & Custard,Lemon Chiffon Yogurt,340,13.0,38,0.0,18,0.09,0.4689655172413793,0.5360824742268041,0.36104513064133015,0.0,0.8275862068965517,0.20689655172413793,0.3349753694581281,0.38291605301914583,0.2578893790295216,0.0,0.5911330049261084,0.1592920353982301
90,1,food,Yogurt & Custard,Mango & Coconut Yogurt Bowl,250,6.0,34,3.0,16,0.06,0.3448275862068966,0.24742268041237114,0.32304038004750596,0.6,0.735632183908046,0.13793103448275862,0.24630541871921185,0.17673048600883653,0.2307431286053614,0.42857142857142855,0.5254515599343186,0.10619469026548674
91,1,food,Snacks & Sweets - Biscotti & Cookies,Foodstirs Sprinkle Mug Cake Mix,280,7.0,55,1.0,4,0.18,0.38620689655172413,0.28865979381443296,0.5225653206650831,0.2,0.1839080459770115,0.41379310344827586,0.2758620689655173,0.2061855670103093,0.3732609433322023,0.14285714285714285,0.13136288998357964,0.3185840707964602
92,1,food,Snacks & Sweets - Biscotti & Cookies,Dipped Madeleines,290,15.0,36,1.0,3,0.0,0.4,0.6185567010309279,0.342042755344418,0.2,0.13793103448275862,0.0,0.28571428571428575,0.44182621502209135,0.2443162538174415,0.14285714285714285,0.09852216748768473,0.0
93,1,food,Snacks & Sweets - Biscotti & Cookies,Madeleines,220,11.0,28,0.0,3,0.18,0.30344827586206896,0.4536082474226804,0.2660332541567696,0.0,0.13793103448275862,0.41379310344827586,0.21674876847290642,0.3240058910162003,0.19002375296912113,0.0,0.09852216748768473,0.3185840707964602
94,1,food,Snacks & Sweets - Biscotti & Cookies,Vanilla Biscotti with Almonds,200,9.0,25,2.0,10,0.0,0.27586206896551724,0.3711340206185567,0.2375296912114014,0.4,0.45977011494252873,0.0,0.19704433497536947,0.26509572901325484,0.16966406515100102,0.2857142857142857,0.3284072249589491,0.0
95,1,food,Snacks & Sweets - Biscotti & Cookies,Shortbread Cookies,170,9.0,21,1.0,8,0.0,0.23448275862068965,0.3711340206185567,0.1995249406175772,0.2,0.367816091954023,0.0,0.16748768472906406,0.26509572901325484,0.14251781472684086,0.14285714285714285,0.2627257799671593,0.0
96,1,food,Snacks & Sweets - Biscotti & Cookies,Dark Chocolate Grahams (2 Pack),140,8.0,18,2.0,2,0.03,0.19310344827586207,0.32989690721649484,0.171021377672209,0.4,0.09195402298850575,0.06896551724137931,0.13793103448275865,0.23564064801178206,0.12215812690872074,0.2857142857142857,0.06568144499178982,0.05309734513274337
97,1,food,Snacks & Sweets - Biscotti & Cookies,Emmy's Coconut Vanilla Cookie,300,24.0,24,6.0,3,0.0,0.41379310344827586,0.9896907216494846,0.22802850356294538,1.2,0.13793103448275862,0.0,0.2955665024630542,0.7069219440353461,0.16287750254496097,0.8571428571428571,0.09852216748768473,0.0
98,1,food,Snacks & Sweets - Biscotti & Cookies,Rip Van Wafel - Snickerdoodle,130,6.0,19,8.0,1,0.065,0.1793103448275862,0.24742268041237114,0.18052256532066507,1.6,0.04597701149425287,0.14942528735632185,0.12807881773399016,0.17673048600883653,0.1289446895147608,1.1428571428571428,0.03284072249589491,0.11504424778761063
99,1,food,Snacks & Sweets - Biscotti & Cookies,Emmy's Dark Cocoa Cookie,300,24.0,24,6.0,3,0.015,0.41379310344827586,0.9896907216494846,0.22802850356294538,1.2,0.13793103448275862,0.034482758620689655,0.2955665024630542,0.7069219440353461,0.16287750254496097,0.8571428571428571,0.09852216748768473,0.026548672566371685
100,1,food,Snacks & Sweets - Biscotti & Cookies,Goodie Girl Mint Slims,150,9.0,18,2.0,2,0.12,0.20689655172413793,0.3711340206185567,0.171021377672209,0.4,0.09195402298850575,0.27586206896551724,0.1477832512315271,0.26509572901325484,0.12215812690872074,0.2857142857142857,0.06568144499178982,0.21238938053097348
101,1,food,Snacks & Sweets - Biscotti & Cookies,Pumpkin Spice Madeleines,250,11.0,33,1.0,3,0.125,0.3448275862068966,0.4536082474226804,0.31353919239904987,0.2,0.13793103448275862,0.28735632183908044,0.24630541871921185,0.3240058910162003,0.22395656599932134,0.14285714285714285,0.09852216748768473,0.22123893805309736
102,1,food,Snacks & Sweets - Biscotti & Cookies,Rip Van Wafels - Honey & Oats,130,6.0,19,0.0,1,0.065,0.1793103448275862,0.24742268041237114,0.18052256532066507,0.0,0.04597701149425287,0.14942528735632185,0.12807881773399016,0.17673048600883653,0.1289446895147608,0.0,0.03284072249589491,0.11504424778761063
103,1,food,Snacks & Sweets - Biscotti & Cookies,Goodie Girl Sandwich Cookies,170,6.0,28,1.0,1,0.15,0.23448275862068965,0.24742268041237114,0.2660332541567696,0.2,0.04597701149425287,0.3448275862068965,0.16748768472906406,0.17673048600883653,0.19002375296912113,0.14285714285714285,0.03284072249589491,0.26548672566371684
104,1,food,Snacks & Sweets - Chocolates & Candy,Wild Ophelia Birthday Cake Bar,310,19.0,33,0.0,3,0.04,0.42758620689655175,0.7835051546391752,0.31353919239904987,0.0,0.13793103448275862,0.09195402298850575,0.3054187192118227,0.5596465390279824,0.22395656599932134,0.0,0.09852216748768473,0.07079646017699116
105,1,food,Snacks & Sweets - Chocolates & Candy,Prosecco Lollipop,70,0.0,18,0.0,0,0.0,0.09655172413793103,0.0,0.171021377672209,0.0,0.0,0.0,0.06896551724137932,0.0,0.12215812690872074,0.0,0.0,0.0
