,"('Meat & Cheese', 'Cold Drinks')","('Meat & Cheese', 'Hot Drinks')","('Snack Bars', 'Cold Drinks')","('Snack Bars', 'Hot Drinks')","('Fruit & Nuts', 'Cold Drinks')","('Fruit & Nuts', 'Hot Drinks')","('Popcorn & Chips', 'Cold Drinks')","('Popcorn & Chips', 'Hot Drinks')"
67,7.405962008141111,2.680058823529412,2.9366314731020613,2.238332954803543,20.776603773584906,2.0186097455176397,2.7336085440663758,2.559967576461479
68,3.2355601613576304,8.3325,2.158621974807756,4.3569426877470345,5.759591973244147,3.209835164835165,2.159081615328644,5.145547511312216
69,3.1510952380952384,1.5229312865497076,2.003352037045417,1.6554683527376848,5.309361111111111,1.569529546372325,2.1330011123470523,1.7822255536381941
70,3.2355601613576304,2.48886613259027,2.158621974807756,2.254797101449275,5.759591973244147,2.017016508731152,2.159081615328644,2.480222222222222
71,7.688617647058822,2.48886613259027,2.9202969187675074,2.254797101449275,10.874090909090908,2.017016508731152,2.7975653235653235,2.480222222222222
72,7.899117647058822,2.428235294117647,2.975061146409784,5.066074660633483,10.9315,4.728099033816425,2.8349875457875457,5.764285714285713
73,7.219296932928884,2.428235294117647,2.6584129901960787,5.066074660633483,7.367619047619049,4.728099033816425,2.67301382259964,5.764285714285713
74,7.267617647058822,2.428235294117647,2.7730619460899115,5.066074660633483,10.720999999999998,4.728099033816425,2.6906446886446886,5.764285714285713
75,7.263355072463769,2.428235294117647,2.6778238508518166,5.066074660633483,7.387666666666666,4.728099033816425,2.6878435681965094,5.764285714285713
76,7.23328364389234,2.428235294117647,2.6646778711484598,5.066074660633483,7.374086021505378,4.728099033816425,2.6778197586727,5.764285714285713
77,7.78429946524064,1.8126836506159016,2.94640544589929,1.5924197677322678,10.901428571428573,1.3044678853754943,2.8155567765567766,1.7039144269423925
78,7.337784313725491,1.6539035204991088,2.802121480171016,1.6365482564973228,10.751071428571427,1.3148279053428722,2.7125148185148182,1.5549182019159908
79,7.267617647058822,2.3701962949331365,2.7730619460899115,2.209857142857143,10.720999999999998,1.9009459298871059,2.6906446886446886,2.37167264752791
80,7.899117647058822,1.9404761904761905,2.975061146409784,1.7064493905341362,10.9315,1.3861286412512217,2.8349875457875457,1.8259068627450976
